# band 1	2	3	4	5	6	7	8	9	10	20	40
F435W	0.330	0.663	0.792	0.839	0.863	0.877	0.887	0.895	0.902	0.907	0.941	0.979
F475W	0.329	0.670	0.794	0.842	0.868	0.883	0.893	0.901	0.907	0.912	0.944	0.979
F502N	0.328	0.670	0.794	0.842	0.869	0.884	0.894	0.902	0.909	0.914	0.945	0.978
F555W	0.328	0.668	0.794	0.841	0.868	0.885	0.895	0.903	0.910	0.915	0.946	0.977
F550M	0.328	0.666	0.794	0.840	0.867	0.885	0.896	0.904	0.910	0.915	0.947	0.976
F606W	0.328	0.661	0.795	0.839	0.866	0.885	0.896	0.904	0.910	0.916	0.947	0.975
F625W	0.330	0.655	0.795	0.838	0.864	0.884	0.896	0.904	0.911	0.916	0.948	0.974
F658N	0.331	0.651	0.794	0.838	0.863	0.883	0.896	0.904	0.911	0.916	0.948	0.973
F660N	0.331	0.650	0.794	0.838	0.863	0.883	0.896	0.904	0.911	0.916	0.948	0.973
F775W	0.329	0.625	0.783	0.836	0.858	0.877	0.894	0.904	0.910	0.916	0.949	0.972
F814W	0.322	0.611	0.770	0.830	0.853	0.871	0.889	0.901	0.908	0.914	0.949	0.972
F892N	0.278	0.546	0.705	0.787	0.818	0.840	0.860	0.877	0.889	0.897	0.942	0.970
F850LP	0.268	0.532	0.690	0.776	0.810	0.833	0.853	0.871	0.884	0.893	0.940	0.970
